entity_id,state,last_changed
sensor.proximity,258.055,2024-09-29T22:03:42.836Z
sensor.proximity,257.052,2024-09-29T22:03:44.942Z
sensor.proximity,258.441,2024-09-29T22:03:47.001Z
sensor.proximity,260.418,2024-09-29T22:03:49.096Z
sensor.proximity,258.169,2024-09-29T22:03:51.200Z
sensor.proximity,258.677,2024-09-29T22:03:53.277Z
sensor.proximity,257.961,2024-09-29T22:03:55.391Z
sensor.proximity,256.169,2024-09-29T22:03:57.435Z
sensor.proximity,255.237,2024-09-29T22:03:59.533Z
sensor.proximity,254.823,2024-09-29T22:04:01.640Z
sensor.proximity,256.220,2024-09-29T22:04:03.702Z
sensor.proximity,259.409,2024-09-29T22:04:05.808Z
sensor.proximity,262.708,2024-09-29T22:04:07.881Z
sensor.proximity,261.257,2024-09-29T22:04:09.985Z
sensor.proximity,261.304,2024-09-29T22:04:12.067Z
sensor.proximity,258.509,2024-09-29T22:04:14.161Z
sensor.proximity,260.904,2024-09-29T22:04:16.259Z
sensor.proximity,262.555,2024-09-29T22:04:18.325Z
sensor.proximity,264.052,2024-09-29T22:04:20.423Z
sensor.proximity,260.717,2024-09-29T22:04:22.499Z
sensor.proximity,263.090,2024-09-29T22:04:24.683Z
sensor.proximity,261.968,2024-09-29T22:04:26.763Z
sensor.proximity,262.141,2024-09-29T22:04:28.847Z
sensor.proximity,263.874,2024-09-29T22:04:30.940Z
sensor.proximity,262.243,2024-09-29T22:04:32.993Z
sensor.proximity,263.051,2024-09-29T22:04:35.096Z
sensor.proximity,262.752,2024-09-29T22:04:37.174Z
sensor.proximity,260.677,2024-09-29T22:04:39.259Z
sensor.proximity,258.278,2024-09-29T22:04:41.362Z
sensor.proximity,257.509,2024-09-29T22:04:43.430Z
sensor.proximity,258.397,2024-09-29T22:04:45.516Z
sensor.proximity,258.462,2024-09-29T22:04:47.584Z
sensor.proximity,258.051,2024-09-29T22:04:49.687Z
sensor.proximity,258.843,2024-09-29T22:04:51.800Z
sensor.proximity,260.659,2024-09-29T22:04:53.868Z
sensor.proximity,261.200,2024-09-29T22:04:55.972Z
sensor.proximity,257.329,2024-09-29T22:04:58.035Z
sensor.proximity,256.707,2024-09-29T22:05:00.137Z
sensor.proximity,257.876,2024-09-29T22:05:02.218Z
sensor.proximity,258.520,2024-09-29T22:05:04.289Z
sensor.proximity,256.318,2024-09-29T22:05:06.384Z
sensor.proximity,259.234,2024-09-29T22:05:08.440Z
sensor.proximity,259.712,2024-09-29T22:05:10.545Z
sensor.proximity,259.168,2024-09-29T22:05:12.633Z
sensor.proximity,262.564,2024-09-29T22:05:14.701Z
sensor.proximity,262.666,2024-09-29T22:05:16.811Z
sensor.proximity,261.773,2024-09-29T22:05:18.884Z
sensor.proximity,262.131,2024-09-29T22:05:20.992Z
sensor.proximity,260.332,2024-09-29T22:05:23.084Z
sensor.proximity,260.120,2024-09-29T22:05:25.161Z
sensor.proximity,257.821,2024-09-29T22:05:27.264Z
sensor.proximity,257.444,2024-09-29T22:05:29.332Z
sensor.proximity,255.543,2024-09-29T22:05:31.421Z
sensor.proximity,256.064,2024-09-29T22:05:33.505Z
sensor.proximity,256.949,2024-09-29T22:05:35.570Z
sensor.proximity,255.587,2024-09-29T22:05:37.658Z
sensor.proximity,254.114,2024-09-29T22:05:39.731Z
sensor.proximity,259.076,2024-09-29T22:05:41.825Z
sensor.proximity,295.605,2024-09-29T22:05:42.622Z
sensor.proximity,297.215,2024-09-29T22:05:43.959Z
sensor.proximity,305.743,2024-09-29T22:05:46.054Z
sensor.proximity,307.191,2024-09-29T22:05:48.155Z
sensor.proximity,307.138,2024-09-29T22:05:50.231Z
sensor.proximity,299.004,2024-09-29T22:05:52.333Z
sensor.proximity,259.431,2024-09-29T22:05:54.399Z
sensor.proximity,253.152,2024-09-29T22:05:56.490Z
sensor.proximity,256.031,2024-09-29T22:05:58.602Z
sensor.proximity,255.298,2024-09-29T22:06:00.666Z
sensor.proximity,254.972,2024-09-29T22:06:02.769Z
sensor.proximity,256.123,2024-09-29T22:06:04.830Z
sensor.proximity,257.211,2024-09-29T22:06:06.938Z
sensor.proximity,255.095,2024-09-29T22:06:09.026Z
sensor.proximity,256.513,2024-09-29T22:06:11.098Z
sensor.proximity,259.644,2024-09-29T22:06:13.198Z
sensor.proximity,258.693,2024-09-29T22:06:15.262Z
sensor.proximity,258.038,2024-09-29T22:06:17.363Z
sensor.proximity,258.797,2024-09-29T22:06:19.434Z
sensor.proximity,256.171,2024-09-29T22:06:21.509Z
sensor.proximity,255.205,2024-09-29T22:06:23.692Z
sensor.proximity,254.783,2024-09-29T22:06:25.759Z
sensor.proximity,254.927,2024-09-29T22:06:27.852Z
sensor.proximity,253.564,2024-09-29T22:06:29.914Z
sensor.proximity,254.669,2024-09-29T22:06:32.012Z
sensor.proximity,254.363,2024-09-29T22:06:34.098Z
sensor.proximity,255.098,2024-09-29T22:06:36.159Z
sensor.proximity,255.802,2024-09-29T22:06:38.252Z
sensor.proximity,255.475,2024-09-29T22:06:40.316Z
sensor.proximity,255.483,2024-09-29T22:06:42.406Z
sensor.proximity,254.952,2024-09-29T22:06:44.513Z
sensor.proximity,257.051,2024-09-29T22:06:46.566Z
sensor.proximity,257.612,2024-09-29T22:06:48.668Z
sensor.proximity,254.679,2024-09-29T22:06:50.744Z
sensor.proximity,256.395,2024-09-29T22:06:52.834Z
sensor.proximity,257.634,2024-09-29T22:06:54.950Z
sensor.proximity,257.432,2024-09-29T22:06:57.007Z
sensor.proximity,259.467,2024-09-29T22:06:59.106Z
sensor.proximity,260.722,2024-09-29T22:07:01.167Z
sensor.proximity,264.473,2024-09-29T22:07:03.265Z
sensor.proximity,267.122,2024-09-29T22:07:05.366Z
sensor.proximity,269.110,2024-09-29T22:07:07.433Z
sensor.proximity,261.989,2024-09-29T22:07:09.528Z
sensor.proximity,258.519,2024-09-29T22:07:11.593Z
sensor.proximity,258.182,2024-09-29T22:07:13.684Z
sensor.proximity,258.598,2024-09-29T22:07:15.787Z
sensor.proximity,261.176,2024-09-29T22:07:17.864Z
sensor.proximity,258.611,2024-09-29T22:07:19.964Z
sensor.proximity,259.519,2024-09-29T22:07:22.022Z
sensor.proximity,259.401,2024-09-29T22:07:24.112Z
sensor.proximity,262.136,2024-09-29T22:07:26.223Z
sensor.proximity,260.757,2024-09-29T22:07:28.285Z
sensor.proximity,258.616,2024-09-29T22:07:30.377Z
sensor.proximity,259.150,2024-09-29T22:07:32.437Z
sensor.proximity,263.491,2024-09-29T22:07:34.538Z
sensor.proximity,260.840,2024-09-29T22:07:36.617Z
sensor.proximity,257.965,2024-09-29T22:07:38.689Z
sensor.proximity,257.065,2024-09-29T22:07:40.779Z
sensor.proximity,258.504,2024-09-29T22:07:42.835Z
sensor.proximity,260.587,2024-09-29T22:07:44.945Z
sensor.proximity,258.223,2024-09-29T22:07:47.045Z
sensor.proximity,258.901,2024-09-29T22:07:49.129Z
sensor.proximity,258.050,2024-09-29T22:07:51.231Z
sensor.proximity,256.199,2024-09-29T22:07:53.290Z
sensor.proximity,255.068,2024-09-29T22:07:55.395Z
sensor.proximity,255.102,2024-09-29T22:07:57.518Z
sensor.proximity,256.455,2024-09-29T22:07:59.564Z
sensor.proximity,259.601,2024-09-29T22:08:01.665Z
sensor.proximity,262.352,2024-09-29T22:08:03.716Z
sensor.proximity,261.715,2024-09-29T22:08:05.806Z
sensor.proximity,261.693,2024-09-29T22:08:07.886Z
sensor.proximity,258.832,2024-09-29T22:08:09.968Z
sensor.proximity,261.416,2024-09-29T22:08:12.069Z
sensor.proximity,262.917,2024-09-29T22:08:14.134Z
sensor.proximity,264.358,2024-09-29T22:08:16.236Z
sensor.proximity,260.921,2024-09-29T22:08:18.307Z
sensor.proximity,263.439,2024-09-29T22:08:20.393Z
sensor.proximity,262.131,2024-09-29T22:08:22.507Z
sensor.proximity,262.873,2024-09-29T22:08:24.792Z
sensor.proximity,263.328,2024-09-29T22:08:26.885Z
sensor.proximity,263.190,2024-09-29T22:08:28.972Z
sensor.proximity,263.649,2024-09-29T22:08:31.083Z
sensor.proximity,261.951,2024-09-29T22:08:33.140Z
sensor.proximity,260.672,2024-09-29T22:08:35.235Z
sensor.proximity,258.173,2024-09-29T22:08:37.307Z
sensor.proximity,258.538,2024-09-29T22:08:39.392Z
sensor.proximity,258.062,2024-09-29T22:08:41.484Z
sensor.proximity,258.588,2024-09-29T22:08:43.540Z
sensor.proximity,258.152,2024-09-29T22:08:45.643Z
sensor.proximity,258.580,2024-09-29T22:08:47.719Z
sensor.proximity,260.920,2024-09-29T22:08:49.797Z
sensor.proximity,261.498,2024-09-29T22:08:51.900Z
sensor.proximity,256.988,2024-09-29T22:08:53.968Z
sensor.proximity,256.935,2024-09-29T22:08:56.062Z
sensor.proximity,258.099,2024-09-29T22:08:58.134Z
sensor.proximity,258.466,2024-09-29T22:09:00.223Z
sensor.proximity,256.655,2024-09-29T22:09:02.323Z
sensor.proximity,259.327,2024-09-29T22:09:04.394Z
sensor.proximity,259.500,2024-09-29T22:09:06.499Z
sensor.proximity,260.374,2024-09-29T22:09:08.576Z
sensor.proximity,262.948,2024-09-29T22:09:10.658Z
sensor.proximity,262.486,2024-09-29T22:09:12.772Z
sensor.proximity,261.572,2024-09-29T22:09:14.827Z
sensor.proximity,261.726,2024-09-29T22:09:16.932Z
sensor.proximity,261.182,2024-09-29T22:09:19.020Z
sensor.proximity,259.012,2024-09-29T22:09:21.097Z
sensor.proximity,257.538,2024-09-29T22:09:23.195Z
sensor.proximity,257.109,2024-09-29T22:09:25.259Z
sensor.proximity,255.735,2024-09-29T22:09:27.356Z
sensor.proximity,255.852,2024-09-29T22:09:29.444Z
sensor.proximity,256.826,2024-09-29T22:09:31.538Z
sensor.proximity,255.234,2024-09-29T22:09:33.650Z
sensor.proximity,254.315,2024-09-29T22:09:35.717Z
sensor.proximity,259.043,2024-09-29T22:09:37.478Z
sensor.proximity,296.245,2024-09-29T22:09:38.195Z
sensor.proximity,296.937,2024-09-29T22:09:39.558Z
sensor.proximity,305.846,2024-09-29T22:09:41.661Z
sensor.proximity,307.101,2024-09-29T22:09:43.712Z
sensor.proximity,306.913,2024-09-29T22:09:45.816Z
sensor.proximity,300.250,2024-09-29T22:09:47.869Z
sensor.proximity,270.636,2024-09-29T22:09:48.836Z
sensor.proximity,253.612,2024-09-29T22:09:50.919Z
sensor.proximity,254.724,2024-09-29T22:09:53.005Z
sensor.proximity,255.750,2024-09-29T22:09:55.118Z
sensor.proximity,253.900,2024-09-29T22:09:57.178Z
sensor.proximity,255.825,2024-09-29T22:09:59.290Z
sensor.proximity,257.284,2024-09-29T22:10:01.365Z
sensor.proximity,255.876,2024-09-29T22:10:03.465Z
sensor.proximity,255.823,2024-09-29T22:10:05.562Z
sensor.proximity,257.390,2024-09-29T22:10:07.628Z
sensor.proximity,259.246,2024-09-29T22:10:09.730Z
sensor.proximity,259.536,2024-09-29T22:10:11.798Z
sensor.proximity,258.320,2024-09-29T22:10:13.905Z
sensor.proximity,257.520,2024-09-29T22:10:16.008Z
sensor.proximity,256.066,2024-09-29T22:10:18.080Z
sensor.proximity,254.579,2024-09-29T22:10:20.167Z
sensor.proximity,255.648,2024-09-29T22:10:22.239Z
sensor.proximity,254.574,2024-09-29T22:10:24.741Z
sensor.proximity,254.166,2024-09-29T22:10:26.843Z
sensor.proximity,253.971,2024-09-29T22:10:28.932Z
sensor.proximity,255.356,2024-09-29T22:10:31.007Z
sensor.proximity,255.635,2024-09-29T22:10:33.115Z
sensor.proximity,255.643,2024-09-29T22:10:35.182Z
sensor.proximity,255.005,2024-09-29T22:10:37.283Z
sensor.proximity,255.381,2024-09-29T22:10:39.376Z
sensor.proximity,255.632,2024-09-29T22:10:41.458Z
sensor.proximity,257.061,2024-09-29T22:10:43.554Z
sensor.proximity,255.578,2024-09-29T22:10:45.607Z
sensor.proximity,256.651,2024-09-29T22:10:47.707Z
sensor.proximity,256.560,2024-09-29T22:10:49.799Z
sensor.proximity,256.898,2024-09-29T22:10:51.878Z
sensor.proximity,258.224,2024-09-29T22:10:53.968Z
sensor.proximity,260.488,2024-09-29T22:10:56.026Z
sensor.proximity,261.620,2024-09-29T22:10:58.120Z
sensor.proximity,265.042,2024-09-29T22:11:00.197Z
sensor.proximity,269.081,2024-09-29T22:11:02.291Z
sensor.proximity,265.965,2024-09-29T22:11:04.378Z
sensor.proximity,260.079,2024-09-29T22:11:06.425Z
sensor.proximity,258.539,2024-09-29T22:11:08.527Z
sensor.proximity,258.768,2024-09-29T22:11:10.609Z
sensor.proximity,259.236,2024-09-29T22:11:12.668Z
sensor.proximity,260.330,2024-09-29T22:11:14.754Z
sensor.proximity,259.328,2024-09-29T22:11:16.809Z
sensor.proximity,259.128,2024-09-29T22:11:18.909Z
sensor.proximity,259.379,2024-09-29T22:11:20.995Z
sensor.proximity,262.133,2024-09-29T22:11:23.060Z
sensor.proximity,260.686,2024-09-29T22:11:25.176Z
sensor.proximity,257.875,2024-09-29T22:11:27.233Z
sensor.proximity,260.903,2024-09-29T22:11:29.324Z
sensor.proximity,262.842,2024-09-29T22:11:31.409Z
sensor.proximity,260.389,2024-09-29T22:11:33.466Z
sensor.proximity,256.572,2024-09-29T22:11:35.567Z
sensor.proximity,256.831,2024-09-29T22:11:37.635Z
sensor.proximity,259.722,2024-09-29T22:11:39.733Z
sensor.proximity,260.073,2024-09-29T22:11:41.826Z
sensor.proximity,257.322,2024-09-29T22:11:43.872Z
sensor.proximity,259.116,2024-09-29T22:11:45.971Z
sensor.proximity,257.796,2024-09-29T22:11:48.060Z
sensor.proximity,255.517,2024-09-29T22:11:50.142Z
sensor.proximity,254.839,2024-09-29T22:11:52.244Z
sensor.proximity,255.493,2024-09-29T22:11:54.300Z
sensor.proximity,257.288,2024-09-29T22:11:56.405Z
sensor.proximity,259.845,2024-09-29T22:11:58.482Z
